ID,Species,Fenotipo,Genotipo
AI6,A.baumannii,IMP;MER,CTX-M
AI10,A.baumannii,IMP;MER,CTX-M
AI11,A.baumannii,PIME;CAZ;CP;GM;IMP;LEVO;MER;PTZ;TS,CTX-M
AI12,A.baumannii,IMP;MER,CTX-M
AC1,E.coli,CP;ERT;MER,OXA
AC6,E.coli,AMC;AMP;CFZ;PIME;CAX;CXM;CP;GM;TS,TEM;CTX-M
AC8,K.pneumoniae,AMC;CFZ;PIME;CAX;CXM;CP;TS,SHV;CTX-M
AC9,E.coli,AMC;AMP;CFZ;PIME;CAX;CXM;CP;GM;TS,TEM;CTX-M
BI3,E.coli,AMC;AMP;CFZ;PIME;CAX;CXM;CP;TS,TEM;CTX-M
BI4,E.asburiae,AMC;AMP;CFN;CFZ;CAX;CXM;CP;ERT;IMP;MER;PTZ,KPC;CTX-M
BI5,A.baumannii,IMP;MER,CTX-M
BI9,A.baumannii,IMP;MER,CTX-M
BI10,E.coli,AMC;AMP;CFZ;PIME;CAX;CXM;CP;GM;TS,OXA
BI12,A.baumannii,PIME;CAZ;CP;GM;IMP;LEVO;MER;PTZ;TS,CTX-M
BI15,A.baumannii,IMP;MER,CTX-M
BC3,E.coli,AMC;AMP;CFZ;PIME;CAX;CXM;TS,TEM;CTX-M
BC4,E.coli,AMC;AMP;PIME;CFZ;CAX;CXM;CP;TS,TEM
BC5,E.cloacae,AMC;AMP;CFZ;CFN;CAX;CXM,CTX-M
BC6,E.coli,AMC;AMP;CFZ;PIME;CAX;CXM;CP;TS,TEM;CTX-M
BC8,E.coli,AMC;AMP;CFZ;PIME;CAX;CXM;GM;MER;TS,TEM
